#SSD VISUALIZATION MODE TRACE: 2 PLANES X 32 BLOCKS X 32 PAGES
#Output from DiskSim execution of ReusableSSD
#Input is a Zipf workload with alpha=1, accessing 1200 logical pages.
#Resources
# DiskSim and SSD extension: 
#  http://www.pdl.cmu.edu/DiskSim/
# Zipf workload generator in C:
#  http://www.csee.usf.edu/~christen/tools/genzipf.c
# ReusableSSD paper: 
#  https://www.usenix.org/conference/fast15/technical-sessions/presentation/yadgar
S <0,0> Active1 
W 1 0 <0,0,0> 
W 1 1 <0,0,1> 
W 1 2 <0,0,2> 
W 1 3 <0,0,3> 
W 1 4 <0,0,4> 
W 1 5 <0,0,5> 
W 1 6 <0,0,6> 
W 1 7 <0,0,7> 
W 1 8 <0,0,8> 
W 1 9 <0,0,9> 
W 1 10 <0,0,10> 
W 1 11 <0,0,11> 
W 1 12 <0,0,12> 
W 1 13 <0,0,13> 
W 1 14 <0,0,14> 
W 1 15 <0,0,15> 
W 1 16 <0,0,16> 
W 1 17 <0,0,17> 
W 1 18 <0,0,18> 
W 1 19 <0,0,19> 
W 1 20 <0,0,20> 
W 1 21 <0,0,21> 
W 1 22 <0,0,22> 
W 1 23 <0,0,23> 
W 1 24 <0,0,24> 
W 1 25 <0,0,25> 
W 1 26 <0,0,26> 
W 1 27 <0,0,27> 
W 1 28 <0,0,28> 
W 1 29 <0,0,29> 
W 1 30 <0,0,30> 
S <0,0> Used 
S <1,0> Active1 
W 1 31 <1,0,0> 
W 1 32 <1,0,1> 
W 1 33 <1,0,2> 
W 1 34 <1,0,3> 
W 1 35 <1,0,4> 
W 1 36 <1,0,5> 
W 1 37 <1,0,6> 
W 1 38 <1,0,7> 
W 1 39 <1,0,8> 
W 1 40 <1,0,9> 
W 1 41 <1,0,10> 
W 1 42 <1,0,11> 
W 1 43 <1,0,12> 
W 1 44 <1,0,13> 
W 1 45 <1,0,14> 
W 1 46 <1,0,15> 
W 1 47 <1,0,16> 
W 1 48 <1,0,17> 
W 1 49 <1,0,18> 
W 1 50 <1,0,19> 
W 1 51 <1,0,20> 
W 1 52 <1,0,21> 
W 1 53 <1,0,22> 
W 1 54 <1,0,23> 
W 1 55 <1,0,24> 
W 1 56 <1,0,25> 
W 1 57 <1,0,26> 
W 1 58 <1,0,27> 
W 1 59 <1,0,28> 
W 1 60 <1,0,29> 
W 1 61 <1,0,30> 
S <1,0> Used 
S <0,1> Active1 
W 1 62 <0,1,0> 
W 1 63 <0,1,1> 
W 1 64 <0,1,2> 
W 1 65 <0,1,3> 
W 1 66 <0,1,4> 
W 1 67 <0,1,5> 
W 1 68 <0,1,6> 
W 1 69 <0,1,7> 
W 1 70 <0,1,8> 
W 1 71 <0,1,9> 
W 1 72 <0,1,10> 
W 1 73 <0,1,11> 
W 1 74 <0,1,12> 
W 1 75 <0,1,13> 
W 1 76 <0,1,14> 
W 1 77 <0,1,15> 
W 1 78 <0,1,16> 
W 1 79 <0,1,17> 
W 1 80 <0,1,18> 
W 1 81 <0,1,19> 
W 1 82 <0,1,20> 
W 1 83 <0,1,21> 
W 1 84 <0,1,22> 
W 1 85 <0,1,23> 
W 1 86 <0,1,24> 
W 1 87 <0,1,25> 
W 1 88 <0,1,26> 
W 1 89 <0,1,27> 
W 1 90 <0,1,28> 
W 1 91 <0,1,29> 
W 1 92 <0,1,30> 
S <0,1> Used 
S <1,1> Active1 
W 1 93 <1,1,0> 
W 1 94 <1,1,1> 
W 1 95 <1,1,2> 
W 1 96 <1,1,3> 
W 1 97 <1,1,4> 
W 1 98 <1,1,5> 
W 1 99 <1,1,6> 
W 1 100 <1,1,7> 
W 1 101 <1,1,8> 
W 1 102 <1,1,9> 
W 1 103 <1,1,10> 
W 1 104 <1,1,11> 
W 1 105 <1,1,12> 
W 1 106 <1,1,13> 
W 1 107 <1,1,14> 
W 1 108 <1,1,15> 
W 1 109 <1,1,16> 
W 1 110 <1,1,17> 
W 1 111 <1,1,18> 
W 1 112 <1,1,19> 
W 1 113 <1,1,20> 
W 1 114 <1,1,21> 
W 1 115 <1,1,22> 
W 1 116 <1,1,23> 
W 1 117 <1,1,24> 
W 1 118 <1,1,25> 
W 1 119 <1,1,26> 
W 1 120 <1,1,27> 
W 1 121 <1,1,28> 
W 1 122 <1,1,29> 
W 1 123 <1,1,30> 
S <1,1> Used 
S <0,2> Active1 
W 1 124 <0,2,0> 
W 1 125 <0,2,1> 
W 1 126 <0,2,2> 
W 1 127 <0,2,3> 
W 1 128 <0,2,4> 
W 1 129 <0,2,5> 
W 1 130 <0,2,6> 
W 1 131 <0,2,7> 
W 1 132 <0,2,8> 
W 1 133 <0,2,9> 
W 1 134 <0,2,10> 
W 1 135 <0,2,11> 
W 1 136 <0,2,12> 
W 1 137 <0,2,13> 
W 1 138 <0,2,14> 
W 1 139 <0,2,15> 
W 1 140 <0,2,16> 
W 1 141 <0,2,17> 
W 1 142 <0,2,18> 
W 1 143 <0,2,19> 
W 1 144 <0,2,20> 
W 1 145 <0,2,21> 
W 1 146 <0,2,22> 
W 1 147 <0,2,23> 
W 1 148 <0,2,24> 
W 1 149 <0,2,25> 
W 1 150 <0,2,26> 
W 1 151 <0,2,27> 
W 1 152 <0,2,28> 
W 1 153 <0,2,29> 
W 1 154 <0,2,30> 
S <0,2> Used 
S <1,2> Active1 
W 1 155 <1,2,0> 
W 1 156 <1,2,1> 
W 1 157 <1,2,2> 
W 1 158 <1,2,3> 
W 1 159 <1,2,4> 
W 1 160 <1,2,5> 
W 1 161 <1,2,6> 
W 1 162 <1,2,7> 
W 1 163 <1,2,8> 
W 1 164 <1,2,9> 
W 1 165 <1,2,10> 
W 1 166 <1,2,11> 
W 1 167 <1,2,12> 
W 1 168 <1,2,13> 
W 1 169 <1,2,14> 
W 1 170 <1,2,15> 
W 1 171 <1,2,16> 
W 1 172 <1,2,17> 
W 1 173 <1,2,18> 
W 1 174 <1,2,19> 
W 1 175 <1,2,20> 
W 1 176 <1,2,21> 
W 1 177 <1,2,22> 
W 1 178 <1,2,23> 
W 1 179 <1,2,24> 
W 1 180 <1,2,25> 
W 1 181 <1,2,26> 
W 1 182 <1,2,27> 
W 1 183 <1,2,28> 
W 1 184 <1,2,29> 
W 1 185 <1,2,30> 
S <1,2> Used 
S <0,3> Active1 
W 1 186 <0,3,0> 
W 1 187 <0,3,1> 
W 1 188 <0,3,2> 
W 1 189 <0,3,3> 
W 1 190 <0,3,4> 
W 1 191 <0,3,5> 
W 1 192 <0,3,6> 
W 1 193 <0,3,7> 
W 1 194 <0,3,8> 
W 1 195 <0,3,9> 
W 1 196 <0,3,10> 
W 1 197 <0,3,11> 
W 1 198 <0,3,12> 
W 1 199 <0,3,13> 
W 1 200 <0,3,14> 
W 1 201 <0,3,15> 
W 1 202 <0,3,16> 
W 1 203 <0,3,17> 
W 1 204 <0,3,18> 
W 1 205 <0,3,19> 
W 1 206 <0,3,20> 
W 1 207 <0,3,21> 
W 1 208 <0,3,22> 
W 1 209 <0,3,23> 
W 1 210 <0,3,24> 
W 1 211 <0,3,25> 
W 1 212 <0,3,26> 
W 1 213 <0,3,27> 
W 1 214 <0,3,28> 
W 1 215 <0,3,29> 
W 1 216 <0,3,30> 
S <0,3> Used 
S <1,3> Active1 
W 1 217 <1,3,0> 
W 1 218 <1,3,1> 
W 1 219 <1,3,2> 
W 1 220 <1,3,3> 
W 1 221 <1,3,4> 
W 1 222 <1,3,5> 
W 1 223 <1,3,6> 
W 1 224 <1,3,7> 
W 1 225 <1,3,8> 
W 1 226 <1,3,9> 
W 1 227 <1,3,10> 
W 1 228 <1,3,11> 
W 1 229 <1,3,12> 
W 1 230 <1,3,13> 
W 1 231 <1,3,14> 
W 1 232 <1,3,15> 
W 1 233 <1,3,16> 
W 1 234 <1,3,17> 
W 1 235 <1,3,18> 
W 1 236 <1,3,19> 
